,station_id,lat,lng,pickup_count,dropoff_count,total_trips,cluster
302,481,40.71260486,-73.96264403,22084,20075,42159,27
303,360,40.70717936,-74.00887308,21089,21042,42131,12
304,3148,40.77565541,-73.95068615,20916,21036,41952,25
305,3367,40.792255299999994,-73.95249933,20664,20754,41418,25
306,3349,40.6729679,-73.97087984,22237,19141,41378,24
307,3162,40.78339981,-73.98093133,21640,19679,41319,16
308,534,40.70255065,-74.0127234,20304,20774,41078,12
309,411,40.72228087,-73.97668709,20596,20381,40977,9
310,3350,40.7973721,-73.97041192,21031,19915,40946,0
311,3110,40.72708584,-73.95299117,20383,20456,40839,22
312,3534,40.805159,-73.95469200000001,19657,21103,40760,21
313,3285,40.78839,-73.9747,21162,19215,40377,0
314,349,40.71850211,-73.98329859,20298,20044,40342,17
315,340,40.71269042,-73.98776323,20117,20193,40310,17
316,3320,40.79406660818552,-73.96286845207214,20754,19543,40297,0
317,157,40.69089272,-73.99612349,19846,20239,40085,19
318,414,40.70281858,-73.98765762,18780,21042,39822,20
319,342,40.71739973,-73.98016555,20020,19706,39726,17
320,314,40.69383,-73.990539,20780,18812,39592,20
321,2023,40.75968085,-73.97031366,19756,19796,39552,4
322,3382,40.680611,-73.99475825,19272,19448,38720,19
323,3134,40.76312584,-73.96526895,19122,19145,38267,15
324,3113,40.730259999999994,-73.95394,18925,18924,37849,22
325,274,40.68691865,-73.976682,18309,19238,37547,24
326,270,40.69308257,-73.97178913,18606,18612,37218,1
327,3362,40.7781314,-73.96069399,18569,18578,37147,15
328,337,40.703799200000006,-74.00838676,18265,18834,37099,12
329,408,40.71076228,-73.99400398,18030,18268,36298,17
330,471,40.71286844,-73.95698119,18081,18158,36239,27
331,3346,40.675146838709786,-73.9752320945263,18139,18066,36205,24
332,332,40.71219906,-73.97948148,17952,17917,35869,17
333,331,40.71173107,-73.99193043,17824,17960,35784,17
334,3169,40.78720869,-73.98128127,18040,17702,35742,16
335,3293,40.7921,-73.9739,18049,17667,35716,0
336,516,40.75206862,-73.96784384,17768,17913,35681,4
337,3418,40.675020700000005,-73.97111473,19839,15759,35598,24
338,310,40.68926942,-73.98912867,17438,17953,35391,20
339,3172,40.7785669,-73.97754961,18198,17168,35366,16
340,3553,40.801694,-73.957145,17089,17838,34927,21
341,356,40.71622644,-73.98261206,20093,14626,34719,17
342,3351,40.7869946,-73.94164802,17153,17341,34494,25
343,3383,40.804213,-73.96699104,18555,15823,34378,0
344,266,40.72368361,-73.97574813,18211,16087,34298,9
345,390,40.69221589,-73.9842844,17168,17112,34280,20
346,282,40.7076449441757,-73.96841526031494,16948,17140,34088,27
347,249,40.71870987,-74.0090009,16799,16873,33672,28
348,341,40.71782143,-73.97628939,16774,16883,33657,17
349,3315,40.6847514,-73.99917254,16741,16867,33608,19
350,3336,40.787801,-73.953559,16776,16800,33576,25
351,258,40.68940747,-73.96885458,18619,14710,33329,1
352,3108,40.725570000000005,-73.94434,16658,16604,33262,10
353,3354,40.668132,-73.97363831,18139,15112,33251,24
354,3146,40.77573034,-73.9567526,16618,16609,33227,15
355,3096,40.71924,-73.95241999999999,16576,16616,33192,10
356,291,40.713126,-73.984844,16548,16610,33158,17
357,3078,40.70924826276157,-73.96063148975372,16914,16102,33016,27
358,3356,40.7746671,-73.98470567,16628,16337,32965,16
359,3101,40.72079821,-73.95484712,16552,16394,32946,27
360,3139,40.77118287540658,-73.96409422159195,16412,15956,32368,15
361,3116,40.73266,-73.95826,15883,16394,32277,22
362,3087,40.71413311,-73.95234386,16202,16006,32208,10
363,3124,40.74731,-73.95451,15931,16025,31956,22
364,3323,40.7981856,-73.96059090060001,16367,15561,31928,0
365,3292,40.785785100000005,-73.957481,15910,15958,31868,25
366,3242,40.69102925677968,-73.99183362722397,15847,15772,31619,20
367,3368,40.672815500000006,-73.98352355,15506,15847,31353,13
368,3224,40.73997354103409,-74.00513872504234,15082,16154,31236,29
369,244,40.69196035,-73.96536851,16277,14884,31161,1
370,3109,40.72606,-73.95621,15387,15714,31101,27
371,3178,40.78414472,-73.98362492,15605,14978,30583,16
372,3408,40.6881529,-73.99520919,15127,15287,30414,19
373,3082,40.71167351,-73.95141312,15278,15096,30374,10
374,3115,40.73232194,-73.9550858,14953,15203,30156,22
375,364,40.68900443,-73.96023854,15537,14562,30099,1
376,3417,40.6795766,-73.97854971,14756,15279,30035,24
377,3307,40.7941654,-73.974124,15103,14892,29995,0
378,3312,40.78172120000001,-73.94594000000001,14776,15181,29957,25
379,306,40.70823502,-74.00530063,14957,14995,29952,12
380,437,40.6809833854,-73.9500479759,15437,14494,29931,18
381,3376,40.76471851944339,-73.96222069859505,14954,14958,29912,15
382,3135,40.77112927,-73.95772297,14744,14814,29558,15
383,3150,40.77536905,-73.94803392,14680,14791,29471,25
384,3151,40.7728384,-73.94989233,14715,14707,29422,15
385,3145,40.77862688,-73.95772073,14948,14339,29287,15
386,3118,40.73555,-73.95284000000001,14574,14680,29254,22
387,3414,40.680944723477296,-73.97567331790923,14407,14527,28934,24
388,354,40.69363137,-73.96223558,14523,14304,28827,1
389,3064,40.69681963,-73.93756926,14412,14374,28786,18
390,313,40.69610226,-73.96751037,14004,14677,28681,1
391,3637,40.68323865460341,-73.96599590778352,14379,14297,28676,1
392,3328,40.795,-73.9645,14593,13911,28504,0
393,3420,40.6802133,-73.98432695,13855,14636,28491,24
394,3378,40.773763,-73.96222088,14122,14173,28295,15
395,416,40.68753406,-73.97265183,14983,13290,28273,1
396,241,40.68981035,-73.97493121,14553,13658,28211,1
397,3697,40.77515953434235,-73.98918695747851,14127,14066,28193,16
398,3576,40.6767,-73.969024,14417,13656,28073,24
399,3106,40.72325,-73.94308000000001,14082,13968,28050,10
400,3126,40.74718234,-73.9432635,14008,14021,28029,3
401,3373,40.6750705,-73.98775226,13420,14546,27966,13
402,261,40.69474881,-73.98362464,13919,14021,27940,20
403,243,40.688226,-73.979382,12026,15783,27809,24
404,3365,40.67038370000001,-73.97839676,14093,13681,27774,13
405,284,40.7390169121,-74.0026376103,13733,14021,27754,29
406,3331,40.8013434,-73.97114574390001,14011,13431,27442,0
407,3648,40.69795031569544,-73.97077560424805,12951,14484,27435,1
408,3131,40.76712840349542,-73.96224617958069,13716,13682,27398,15
409,399,40.68851534,-73.9647628,16519,10875,27394,1
410,3289,40.79017948095081,-73.97288918495178,14235,12976,27211,0
411,232,40.69597683,-73.99014892,13731,13296,27027,20
412,83,40.68382604,-73.97632328,13115,13813,26928,24
413,3508,40.809725,-73.953149,13234,13619,26853,21
414,322,40.696192,-73.991218,13653,13157,26810,20
415,3100,40.724812564400175,-73.94752621650694,13339,13427,26766,10
416,3663,40.67716489469059,-73.97382795810701,13422,13337,26759,24
417,3370,40.7727966,-73.95577801,13303,13347,26650,15
418,3411,40.6849668,-73.98620772,13163,13295,26458,19
419,3335,40.6772744,-73.98282002,12591,13794,26385,24
420,3518,40.808442,-73.94520870000001,12792,13526,26318,21
421,3558,40.6794388,-73.96804379999999,13290,13017,26307,24
422,3288,40.778301,-73.9488134,12989,13245,26234,25
423,3688,40.75792020879402,-73.96638214588165,13107,13124,26231,4
424,339,40.72580614,-73.97422494,14845,11383,26228,9
425,3526,40.7747878,-73.91255509999999,13039,13107,26146,8
426,3489,40.710699946313866,-74.00354146957396,12987,13138,26125,28
427,3547,40.8143256,-73.9590255,12801,13279,26080,21
428,260,40.70365182,-74.01167797,12878,13137,26015,12
429,3497,40.794987899999995,-73.9333349,12889,13097,25986,14
430,418,40.70224,-73.982578,12390,13593,25983,20
431,3077,40.70877084,-73.95095259,13085,12888,25973,10
432,3584,40.670776700000005,-73.9576801,12938,12583,25521,6
433,3711,40.72966729392978,-73.98067966103555,12655,12814,25469,9
434,3364,40.6751622,-73.9814832,12542,12924,25466,24
435,3366,40.8021174,-73.9681805305,14010,11415,25425,0
436,3176,40.77452835,-73.98753759,12867,12474,25341,16
437,3308,40.686175799999994,-73.99645295,12560,12654,25214,19
438,3668,40.7239567849954,-73.94984364509583,12543,12580,25123,10
439,3400,40.7961535,-73.94782145,12473,12564,25037,14
440,3539,40.8067581,-73.9607082,14347,10627,24974,21
441,3361,40.6740886,-73.9787282,12513,12409,24922,24
442,3298,40.686371,-73.99383324,12299,12472,24771,19
